road,direction,km,milestone,lat,lng,elevation
南港聯絡道,M,0,000K+000,25.04680111,121.6233197,40.5
南港聯絡道,M,100,000K+100,25.04736788,121.6225496,42.05
南港聯絡道,M,200,000K+200,25.04803847,121.6218877,43.3
南港聯絡道,M,300,000K+300,25.04879394,121.6213472,44.55
南港聯絡道,M,400,000K+400,25.04961585,121.6209406,45.77
南港聯絡道,M,500,000K+500,25.0504849,121.6206767,47.0
南港聯絡道,M,600,000K+600,25.0513809,121.6205656,48.25
南港聯絡道,M,700,000K+700,25.05228177,121.6206041,49.52
南港聯絡道,M,800,000K+800,25.05316649,121.6207947,50.75
南港聯絡道,M,900,000K+900,25.05401689,121.6211246,51.42
南港聯絡道,M,1000,001K+000,25.05483895,121.6215331,49.71
南港聯絡道,M,1100,001K+100,25.05564228,121.6219833,45.4
南港聯絡道,M,1200,001K+200,25.0564793,121.6223458,43.65
南港聯絡道,M,1300,001K+300,25.05737584,121.6223736,44.24
南港聯絡道,M,1400,001K+400,25.05822154,121.622043,44.82
南港聯絡道,M,1408,001K+408,25.05828323,121.6220063,44.88
台26,M,0,000K+000,25.15133196,121.7419578,37.26
台26,M,100,000K+100,25.15159348,121.7410089,39.97
台26,M,200,000K+200,25.151855,121.7400599,42.69
台26,M,300,000K+300,25.15211651,121.739111,45.41
台26,M,400,000K+400,25.15237801,121.7381621,48.12
台26,M,500,000K+500,25.15263951,121.7372131,50.84
台26,M,600,000K+600,25.15285333,121.7362506,54.38
台26,M,700,000K+700,25.15304969,121.7352835,58.35
台26,M,800,000K+800,25.1534456,121.7343979,62.27
台26,M,900,000K+900,25.15377858,121.733491,66.35
台26,M,1000,001K+000,25.15346708,121.7325843,70.31
台26,M,1100,001K+100,25.15289264,121.7318202,74.3
台26,M,1200,001K+200,25.15234485,121.7310344,78.32
台26,M,1300,001K+300,25.1520452,121.7301073,82.09
台26,M,1400,001K+400,25.15209677,121.7291242,83.46
台26,M,1500,001K+500,25.15230803,121.7281612,82.23
台26,M,1600,001K+600,25.15216323,121.7271952,80.26
台26,M,1700,001K+700,25.15158766,121.726443,78.14
台26,M,1800,001K+800,25.15088984,121.725816,75.68
台26,M,1900,001K+900,25.15041923,121.7249745,73.38
台26,M,2000,002K+000,25.14990707,121.7241653,72.69
台26,M,2100,002K+100,25.14914136,121.7236463,74.31
台26,M,2200,002K+200,25.14833791,121.7231948,76.71
台26,M,2300,002K+300,25.14752615,121.7227613,78.7
台26,M,2400,002K+400,25.14671852,121.7223185,80.56
台26,M,2500,002K+500,25.14592036,121.7218559,81.34
台26,M,2600,002K+600,25.14524188,121.7212106,80.75
台26,M,2700,002K+700,25.14468326,121.7204319,79.34
台26,M,2800,002K+800,25.14404008,121.7197511,78.7
台26,M,2900,002K+900,25.14324676,121.719283,79.51
台26,M,3000,003K+000,25.14247461,121.7187717,79.88
台26,M,3100,003K+100,25.14179927,121.7181171,79.61
台26,M,3200,003K+200,25.14124882,121.7173329,78.68
台26,M,3300,003K+300,25.14075573,121.7165022,77.7
台26,M,3400,003K+400,25.14028717,121.7156547,78.76
台26,M,3500,003K+500,25.13979634,121.7148227,80.99
台26,M,3517,003K+517,25.13971242,121.7146816,81.37
國3甲,M,0,000K+000,25.01628722,121.5499967,33.14
國3甲,M,100,000K+100,25.01575499,121.5507964,36.48
國3甲,M,200,000K+200,25.01522277,121.551596,39.82
國3甲,M,300,000K+300,25.01471113,121.5524107,44.23
國3甲,M,400,000K+400,25.01432034,121.5533011,48.35
國3甲,M,500,000K+500,25.01407855,121.5542535,51.72
國3甲,M,600,000K+600,25.01399824,121.5552386,54.3
